2002,1.58
2003,2.28
2004,2.66
2005,3.39
2006,3.23
2007,2.85
2008,3.84
2009,-0.36
2010,1.64
2011,3.16
2012,2.07
2013,1.46
2014,1.62
2015,0.12
2016,1.26
2017,2.13
2018,2.49
2019,1.76
2020,1.23
2021,4.70
2022,8.00
